   mH       mt    tan(beta) sig_LO    sig_NLO   ratio
 850.000  175.000    3.000 0.406E-02 0.0064    1.5744
 900.000  175.000    3.000 0.316E-02 0.0050    1.5770
 950.000  175.000    3.000 0.248E-02 0.0039    1.5795
1000.000  175.000    3.000 0.196E-02 0.0031    1.5818
 140.000  175.000    4.000 0.306     0.4761    1.5557
 160.000  175.000    4.000 0.254     0.4157    1.6358
 180.000  175.000    4.000 0.211     0.3311    1.5653
 200.000  175.000    4.000 0.176     0.2706    1.5319
 250.000  175.000    4.000 0.114     0.1742    1.5225
 300.000  175.000    4.000 0.758E-01 0.1155    1.5239
 350.000  175.000    4.000 0.513E-01 0.0783    1.5269
 400.000  175.000    4.000 0.354E-01 0.0542    1.5312
 450.000  175.000    4.000 0.249E-01 0.0382    1.5356
 500.000  175.000    4.000 0.178E-01 0.0274    1.5399
 550.000  175.000    4.000 0.129E-01 0.0199    1.5441
 600.000  175.000    4.000 0.949E-02 0.0147    1.5481
 650.000  175.000    4.000 0.706E-02 0.0110    1.5519
 700.000  175.000    4.000 0.531E-02 0.0083    1.5553
 750.000  175.000    4.000 0.403E-02 0.0063    1.5583
 800.000  175.000    4.000 0.309E-02 0.0048    1.5611
 850.000  175.000    4.000 0.239E-02 0.0037    1.5639
 900.000  175.000    4.000 0.186E-02 0.0029    1.5665
 950.000  175.000    4.000 0.146E-02 0.0023    1.5689
1000.000  175.000    4.000 0.115E-02 0.0018    1.5713
 140.000  175.000    5.000 0.213     0.327     1.5363
 160.000  175.000    5.000 0.177     0.286     1.6154
 180.000  175.000    5.000 0.147     0.227     1.5458
 200.000  175.000    5.000 0.123     0.186     1.5128
 250.000  175.000    5.000 0.798E-01 0.120     1.5025
 300.000  175.000    5.000 0.528E-01 0.795E-01 1.5040
 350.000  175.000    5.000 0.358E-01 0.539E-01 1.5067
 400.000  175.000    5.000 0.247E-01 0.373E-01 1.5116
 450.000  175.000    5.000 0.174E-01 0.263E-01 1.5158
 500.000  175.000    5.000 0.124E-01 0.189E-01 1.5199
 550.000  175.000    5.000 0.900E-02 0.137E-01 1.5241
 600.000  175.000    5.000 0.662E-02 0.101E-01 1.5279
 650.000  175.000    5.000 0.492E-02 0.754E-02 1.5317
 700.000  175.000    5.000 0.370E-02 0.568E-02 1.5352
 750.000  175.000    5.000 0.281E-02 0.432E-02 1.5382
 800.000  175.000    5.000 0.215E-02 0.332E-02 1.5415
 850.000  175.000    5.000 0.166E-02 0.257E-02 1.5444
 900.000  175.000    5.000 0.130E-02 0.200E-02 1.5467
 950.000  175.000    5.000 0.102E-02 0.157E-02 1.5493
1000.000  175.000    5.000 0.801E-03 0.124E-02 1.5515
 140.000  175.000   10.000 0.164     0.227     1.3897
 160.000  175.000   10.000 0.136     0.199     1.4610
 180.000  175.000   10.000 0.113     0.158     1.3980
 200.000  175.000   10.000 0.947E-01 0.129     1.3682
 250.000  175.000   10.000 0.614E-01 0.834E-01 1.3589
 300.000  175.000   10.000 0.406E-01 0.553E-01 1.3602
 350.000  175.000   10.000 0.275E-01 0.375E-01 1.3626
 400.000  175.000   10.000 0.190E-01 0.260E-01 1.3671
 450.000  175.000   10.000 0.134E-01 0.183E-01 1.3708
 500.000  175.000   10.000 0.955E-02 0.131E-01 1.3746
 550.000  175.000   10.000 0.692E-02 0.954E-02 1.3784
 600.000  175.000   10.000 0.509E-02 0.703E-02 1.3819
 650.000  175.000   10.000 0.379E-02 0.524E-02 1.3853
 700.000  175.000   10.000 0.285E-02 0.395E-02 1.3884
 750.000  175.000   10.000 0.216E-02 0.301E-02 1.3911
 800.000  175.000   10.000 0.166E-02 0.231E-02 1.3941
 850.000  175.000   10.000 0.128E-02 0.179E-02 1.3967
 900.000  175.000   10.000 0.997E-03 0.139E-02 1.3988
 950.000  175.000   10.000 0.781E-03 0.109E-02 1.4011
1000.000  175.000   10.000 0.616E-03 0.865E-03 1.4032
 140.000  175.000   15.000 0.286     0.382     1.3368
 160.000  175.000   15.000 0.237     0.334     1.4056
 180.000  175.000   15.000 0.197     0.266     1.3449
 200.000  175.000   15.000 0.165     0.217     1.3163
 250.000  175.000   15.000 0.107     0.140     1.3073
 300.000  175.000   15.000 0.709E-01 0.927E-01 1.3086
 350.000  175.000   15.000 0.480E-01 0.629E-01 1.3109
 400.000  175.000   15.000 0.331E-01 0.436E-01 1.3152
 450.000  175.000   15.000 0.233E-01 0.307E-01 1.3188
 500.000  175.000   15.000 0.167E-01 0.220E-01 1.3224
 550.000  175.000   15.000 0.121E-01 0.160E-01 1.3261
 600.000  175.000   15.000 0.888E-02 0.118E-01 1.3294
 650.000  175.000   15.000 0.660E-02 0.880E-02 1.3327
 700.000  175.000   15.000 0.497E-02 0.663E-02 1.3357
 750.000  175.000   15.000 0.377E-02 0.505E-02 1.3383
 800.000  175.000   15.000 0.289E-02 0.388E-02 1.3412
 850.000  175.000   15.000 0.223E-02 0.300E-02 1.3437
 900.000  175.000   15.000 0.174E-02 0.234E-02 1.3457
 950.000  175.000   15.000 0.136E-02 0.184E-02 1.3480
1000.000  175.000   15.000 0.108E-02 0.145E-02 1.3499
 140.000  175.000   20.000 0.483     0.641     1.3247
 160.000  175.000   20.000 0.401     0.559     1.3929
 180.000  175.000   20.000 0.334     0.445     1.3328
 200.000  175.000   20.000 0.279     0.364     1.3044
 250.000  175.000   20.000 0.181     0.235     1.2955
 300.000  175.000   20.000 0.120     0.155     1.2968
 350.000  175.000   20.000 0.812E-01 0.105     1.2991
 400.000  175.000   20.000 0.560E-01 0.730E-01 1.3034
 450.000  175.000   20.000 0.394E-01 0.515E-01 1.3070
 500.000  175.000   20.000 0.282E-01 0.369E-01 1.3105
 550.000  175.000   20.000 0.204E-01 0.268E-01 1.3141
 600.000  175.000   20.000 0.150E-01 0.198E-01 1.3175
 650.000  175.000   20.000 0.112E-01 0.148E-01 1.3207
 700.000  175.000   20.000 0.840E-02 0.111E-01 1.3237
 750.000  175.000   20.000 0.638E-02 0.846E-02 1.3263
 800.000  175.000   20.000 0.489E-02 0.650E-02 1.3291
 850.000  175.000   20.000 0.378E-02 0.503E-02 1.3316
 900.000  175.000   20.000 0.294E-02 0.392E-02 1.3336
 950.000  175.000   20.000 0.230E-02 0.308E-02 1.3358
1000.000  175.000   20.000 0.182E-02 0.243E-02 1.3378
 140.000  175.000   25.000 0.745     0.985     1.3212
 160.000  175.000   25.000 0.619     0.860     1.3892
 180.000  175.000   25.000 0.515     0.685     1.3293
 200.000  175.000   25.000 0.430     0.559     1.3010
 250.000  175.000   25.000 0.279     0.360     1.2921
 300.000  175.000   25.000 0.185     0.239     1.2934
 350.000  175.000   25.000 0.125     0.162     1.2957
 400.000  175.000   25.000 0.863E-01 0.112     1.2999
 450.000  175.000   25.000 0.607E-01 0.791E-01 1.3035
 500.000  175.000   25.000 0.434E-01 0.567E-01 1.3070
 550.000  175.000   25.000 0.315E-01 0.412E-01 1.3106
 600.000  175.000   25.000 0.231E-01 0.304E-01 1.3140
 650.000  175.000   25.000 0.172E-01 0.227E-01 1.3172
 700.000  175.000   25.000 0.129E-01 0.171E-01 1.3202
 750.000  175.000   25.000 0.983E-02 0.130E-01 1.3227
 800.000  175.000   25.000 0.753E-02 0.998E-02 1.3256
 850.000  175.000   25.000 0.582E-02 0.773E-02 1.3281
 900.000  175.000   25.000 0.453E-02 0.602E-02 1.3301
 950.000  175.000   25.000 0.355E-02 0.473E-02 1.3323
1000.000  175.000   25.000 0.280E-02 0.374E-02 1.3343
 140.000  175.000   30.000 1.068     1.410     1.3201
 160.000  175.000   30.000 0.886     1.230     1.3879
 180.000  175.000   30.000 0.738     0.980     1.3280
 200.000  175.000   30.000 0.616     0.801     1.2997
 250.000  175.000   30.000 0.400     0.516     1.2909
 300.000  175.000   30.000 0.265     0.342     1.2921
 350.000  175.000   30.000 0.179     0.232     1.2944
 400.000  175.000   30.000 0.124     0.161     1.2987
 450.000  175.000   30.000 0.870E-01 0.113     1.3022
 500.000  175.000   30.000 0.622E-01 0.812E-01 1.3058
 550.000  175.000   30.000 0.451E-01 0.590E-01 1.3094
 600.000  175.000   30.000 0.331E-01 0.435E-01 1.3127
 650.000  175.000   30.000 0.247E-01 0.324E-01 1.3159
 700.000  175.000   30.000 0.185E-01 0.244E-01 1.3189
 750.000  175.000   30.000 0.141E-01 0.186E-01 1.3215
 800.000  175.000   30.000 0.108E-01 0.143E-01 1.3243
 850.000  175.000   30.000 0.833E-02 0.111E-01 1.3268
 900.000  175.000   30.000 0.649E-02 0.862E-02 1.3288
 950.000  175.000   30.000 0.509E-02 0.677E-02 1.3310
1000.000  175.000   30.000 0.401E-02 0.535E-02 1.3330
 140.000  175.000   35.000 1.450     1.913     1.3194
 160.000  175.000   35.000 1.204     1.671     1.3873
 180.000  175.000   35.000 1.002     1.331     1.3275
 200.000  175.000   35.000 0.837     1.088     1.2991
 250.000  175.000   35.000 0.543     0.700     1.2903
 300.000  175.000   35.000 0.359     0.464     1.2916
 350.000  175.000   35.000 0.243     0.315     1.2939
 400.000  175.000   35.000 0.168     0.218     1.2981
 450.000  175.000   35.000 0.118     0.154     1.3017
 500.000  175.000   35.000 0.844E-01 0.110     1.3052
 550.000  175.000   35.000 0.612E-01 0.801E-01 1.3088
 600.000  175.000   35.000 0.450E-01 0.591E-01 1.3121
 650.000  175.000   35.000 0.335E-01 0.440E-01 1.3154
 700.000  175.000   35.000 0.252E-01 0.332E-01 1.3184
 750.000  175.000   35.000 0.191E-01 0.253E-01 1.3209
 800.000  175.000   35.000 0.146E-01 0.194E-01 1.3238
 850.000  175.000   35.000 0.113E-01 0.150E-01 1.3263
 900.000  175.000   35.000 0.881E-02 0.117E-01 1.3282
 950.000  175.000   35.000 0.691E-02 0.919E-02 1.3304
1000.000  175.000   35.000 0.545E-02 0.726E-02 1.3324
 140.000  175.000   40.000 1.892     2.496     1.3192
 160.000  175.000   40.000 1.571     2.179     1.3870
 180.000  175.000   40.000 1.308     1.736     1.3272
 200.000  175.000   40.000 1.092     1.419     1.2989
 250.000  175.000   40.000 0.708     0.913     1.2901
 300.000  175.000   40.000 0.469     0.605     1.2913
 350.000  175.000   40.000 0.317     0.411     1.2936
 400.000  175.000   40.000 0.219     0.284     1.2979
 450.000  175.000   40.000 0.154     0.201     1.3014
 500.000  175.000   40.000 0.110     0.144     1.3049
 550.000  175.000   40.000 0.799E-01 0.105     1.3086
 600.000  175.000   40.000 0.587E-01 0.770E-01 1.3119
 650.000  175.000   40.000 0.437E-01 0.574E-01 1.3151
 700.000  175.000   40.000 0.328E-01 0.433E-01 1.3181
 750.000  175.000   40.000 0.249E-01 0.329E-01 1.3206
 800.000  175.000   40.000 0.191E-01 0.253E-01 1.3235
 850.000  175.000   40.000 0.148E-01 0.196E-01 1.3260
 900.000  175.000   40.000 0.115E-01 0.153E-01 1.3279
 950.000  175.000   40.000 0.901E-02 0.120E-01 1.3302
1000.000  175.000   40.000 0.711E-02 0.947E-02 1.3321
 140.000  175.000   45.000 2.394     3.158     1.3191
 160.000  175.000   45.000 1.987     2.757     1.3869
 180.000  175.000   45.000 1.654     2.196     1.3270
 200.000  175.000   45.000 1.382     1.795     1.2987
 250.000  175.000   45.000 0.895     1.16      1.2899
 300.000  175.000   45.000 0.593     0.766     1.2912
 350.000  175.000   45.000 0.402     0.519     1.2934
 400.000  175.000   45.000 0.277     0.360     1.2977
 450.000  175.000   45.000 0.195     0.254     1.3013
 500.000  175.000   45.000 0.139     0.182     1.3048
 550.000  175.000   45.000 0.101     0.132     1.3084
 600.000  175.000   45.000 0.743E-01 0.974E-01 1.3117
 650.000  175.000   45.000 0.553E-01 0.727E-01 1.3150
 700.000  175.000   45.000 0.415E-01 0.548E-01 1.3180
 750.000  175.000   45.000 0.316E-01 0.417E-01 1.3205
 800.000  175.000   45.000 0.242E-01 0.320E-01 1.3234
 850.000  175.000   45.000 0.187E-01 0.248E-01 1.3258
 900.000  175.000   45.000 0.145E-01 0.193E-01 1.3278
 950.000  175.000   45.000 0.114E-01 0.152E-01 1.3300
1000.000  175.000   45.000 0.899E-02 0.120E-01 1.3320
 140.000  175.000   50.000 2.954     3.896     1.3188
 160.000  175.000   50.000 2.453     3.402     1.3868
 180.000  175.000   50.000 2.042     2.710     1.3270
 200.000  175.000   50.000 1.705     2.215     1.2987
 250.000  175.000   50.000 1.11      1.43      1.2898
 300.000  175.000   50.000 0.732     0.945     1.2911
 350.000  175.000   50.000 0.496     0.641     1.2934
 400.000  175.000   50.000 0.342     0.444     1.2977
 450.000  175.000   50.000 0.241     0.313     1.3012
 500.000  175.000   50.000 0.172     0.224     1.3047
 550.000  175.000   50.000 0.125     0.163     1.3083
 600.000  175.000   50.000 0.917E-01 0.120     1.3116
 650.000  175.000   50.000 0.682E-01 0.897E-01 1.3149
 700.000  175.000   50.000 0.513E-01 0.676E-01 1.3179
 750.000  175.000   50.000 0.389E-01 0.514E-01 1.3204
 800.000  175.000   50.000 0.298E-01 0.395E-01 1.3233
 850.000  175.000   50.000 0.231E-01 0.306E-01 1.3258
 900.000  175.000   50.000 0.179E-01 0.238E-01 1.3277
 950.000  175.000   50.000 0.141E-01 0.187E-01 1.3299
1000.000  175.000   50.000 0.111E-01 0.148E-01 1.3319
 140.000  175.000   55.000 3.574     4.714     1.3189
 160.000  175.000   55.000 2.968     4.115     1.3867
 180.000  175.000   55.000 2.470     3.278     1.3269
 200.000  175.000   55.000 2.063     2.679     1.2986
 250.000  175.000   55.000 1.34      1.72      1.2898
 300.000  175.000   55.000 0.885     1.14      1.2911
 350.000  175.000   55.000 0.599     0.775     1.2933
 400.000  175.000   55.000 0.414     0.537     1.2976
 450.000  175.000   55.000 0.291     0.379     1.3011
 500.000  175.000   55.000 0.208     0.271     1.3047
 550.000  175.000   55.000 0.151     0.197     1.3083
 600.000  175.000   55.000 0.111     0.145     1.3116
 650.000  175.000   55.000 0.825E-01 0.108     1.3148
 700.000  175.000   55.000 0.620E-01 0.817E-01 1.3178
 750.000  175.000   55.000 0.471E-01 0.622E-01 1.3204
 800.000  175.000   55.000 0.361E-01 0.478E-01 1.3232
 850.000  175.000   55.000 0.279E-01 0.370E-01 1.3257
 900.000  175.000   55.000 0.217E-01 0.288E-01 1.3277
 950.000  175.000   55.000 0.170E-01 0.226E-01 1.3299
1000.000  175.000   55.000 0.134E-01 0.179E-01 1.3318
 140.000  175.000   60.000 4.253     5.610     1.3190
 160.000  175.000   60.000 3.531     4.897     1.3867
 180.000  175.000   60.000 2.940     3.901     1.3269
 200.000  175.000   60.000 2.455     3.188     1.2986
 250.000  175.000   60.000 1.59      2.05      1.2898
 300.000  175.000   60.000 1.05      1.36      1.2910
 350.000  175.000   60.000 0.713     0.923     1.2933
 400.000  175.000   60.000 0.493     0.639     1.2976
 450.000  175.000   60.000 0.346     0.451     1.3011
 500.000  175.000   60.000 0.247     0.323     1.3046
 550.000  175.000   60.000 0.180     0.235     1.3083
 600.000  175.000   60.000 0.132     0.173     1.3116
 650.000  175.000   60.000 0.982E-01 0.129     1.3148
 700.000  175.000   60.000 0.738E-01 0.973E-01 1.3178
 750.000  175.000   60.000 0.561E-01 0.740E-01 1.3203
 800.000  175.000   60.000 0.430E-01 0.568E-01 1.3232
 850.000  175.000   60.000 0.332E-01 0.440E-01 1.3257
 900.000  175.000   60.000 0.258E-01 0.343E-01 1.3276
 950.000  175.000   60.000 0.203E-01 0.269E-01 1.3299
1000.000  175.000   60.000 0.160E-01 0.213E-01 1.3318

n.b. for mH<mt the on-shell contribution due to 
     gg->tt, t->bH has been subtracted from the NLO
     cross section (in narrow width approximation).


